Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,s1-brdr1,Ethernet1,mlag_peer,s1-brdr2,Ethernet1
l3leaf,s1-brdr1,Ethernet6,mlag_peer,s1-brdr2,Ethernet6
l3leaf,s1-brdr2,Ethernet1,mlag_peer,s1-brdr1,Ethernet1
l3leaf,s1-brdr2,Ethernet6,mlag_peer,s1-brdr1,Ethernet6
l3leaf,s1-core1,Ethernet1,mlag_peer,s1-core2,Ethernet1
l3leaf,s1-core1,Ethernet6,mlag_peer,s1-core2,Ethernet6
l3leaf,s1-core2,Ethernet1,mlag_peer,s1-core1,Ethernet1
l3leaf,s1-core2,Ethernet6,mlag_peer,s1-core1,Ethernet6
l2leaf,s1-host1,Ethernet1,l3leaf,s1-leaf1,Ethernet4
l2leaf,s1-host1,Ethernet2,l3leaf,s1-leaf2,Ethernet4
l2leaf,s1-host2,Ethernet1,l3leaf,s1-leaf3,Ethernet4
l2leaf,s1-host2,Ethernet2,l3leaf,s1-leaf4,Ethernet4
l3leaf,s1-leaf1,Ethernet1,mlag_peer,s1-leaf2,Ethernet1
l3leaf,s1-leaf1,Ethernet4,l2leaf,s1-host1,Ethernet1
l3leaf,s1-leaf1,Ethernet6,mlag_peer,s1-leaf2,Ethernet6
l3leaf,s1-leaf2,Ethernet1,mlag_peer,s1-leaf1,Ethernet1
l3leaf,s1-leaf2,Ethernet4,l2leaf,s1-host1,Ethernet2
l3leaf,s1-leaf2,Ethernet6,mlag_peer,s1-leaf1,Ethernet6
l3leaf,s1-leaf3,Ethernet1,mlag_peer,s1-leaf4,Ethernet1
l3leaf,s1-leaf3,Ethernet4,l2leaf,s1-host2,Ethernet1
l3leaf,s1-leaf3,Ethernet6,mlag_peer,s1-leaf4,Ethernet6
l3leaf,s1-leaf4,Ethernet1,mlag_peer,s1-leaf3,Ethernet1
l3leaf,s1-leaf4,Ethernet4,l2leaf,s1-host2,Ethernet2
l3leaf,s1-leaf4,Ethernet6,mlag_peer,s1-leaf3,Ethernet6
l3leaf,s2-brdr1,Ethernet1,mlag_peer,s2-brdr2,Ethernet1
l3leaf,s2-brdr1,Ethernet6,mlag_peer,s2-brdr2,Ethernet6
l3leaf,s2-brdr2,Ethernet1,mlag_peer,s2-brdr1,Ethernet1
l3leaf,s2-brdr2,Ethernet6,mlag_peer,s2-brdr1,Ethernet6
l3leaf,s2-core1,Ethernet1,mlag_peer,s2-core2,Ethernet1
l3leaf,s2-core1,Ethernet6,mlag_peer,s2-core2,Ethernet6
l3leaf,s2-core2,Ethernet1,mlag_peer,s2-core1,Ethernet1
l3leaf,s2-core2,Ethernet6,mlag_peer,s2-core1,Ethernet6
l2leaf,s2-host1,Ethernet1,l3leaf,s2-leaf1,Ethernet4
l2leaf,s2-host1,Ethernet2,l3leaf,s2-leaf2,Ethernet4
l2leaf,s2-host2,Ethernet1,l3leaf,s2-leaf3,Ethernet4
l2leaf,s2-host2,Ethernet2,l3leaf,s2-leaf4,Ethernet4
l3leaf,s2-leaf1,Ethernet1,mlag_peer,s2-leaf2,Ethernet1
l3leaf,s2-leaf1,Ethernet4,l2leaf,s2-host1,Ethernet1
l3leaf,s2-leaf1,Ethernet6,mlag_peer,s2-leaf2,Ethernet6
l3leaf,s2-leaf2,Ethernet1,mlag_peer,s2-leaf1,Ethernet1
l3leaf,s2-leaf2,Ethernet4,l2leaf,s2-host1,Ethernet2
l3leaf,s2-leaf2,Ethernet6,mlag_peer,s2-leaf1,Ethernet6
l3leaf,s2-leaf3,Ethernet1,mlag_peer,s2-leaf4,Ethernet1
l3leaf,s2-leaf3,Ethernet4,l2leaf,s2-host2,Ethernet1
l3leaf,s2-leaf3,Ethernet6,mlag_peer,s2-leaf4,Ethernet6
l3leaf,s2-leaf4,Ethernet1,mlag_peer,s2-leaf3,Ethernet1
l3leaf,s2-leaf4,Ethernet4,l2leaf,s2-host2,Ethernet2
l3leaf,s2-leaf4,Ethernet6,mlag_peer,s2-leaf3,Ethernet6
